Number of Pulses: 50
Initial Voltage Duration (ms): 1000
Initial Voltage (V):-2.000000E+0
Read Voltage (V):50.000000E-3
ON Voltage (V):2.000000E+0
tON (ms):1
OFF Voltage (V):0.000000E+0
tOFF (ms):100
tWait (ms):100
Temperature (K): 449.100000E+0
Time stamp (s), Voltage (V), Current (A), Voltage (V), Current (A),Resistance (Ohm)
7.8796999931335E+1,5.000000E-2,2.779700E-8,-5.000000E-2,-2.437400E-8,1.900852E+6
7.9312999725342E+1,2.000000E+0,+001.920E-03,,,1.041667E+3
7.9328999996185E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
8.2015999794006E+1,5.000000E-2,2.783400E-8,-5.000000E-2,-2.477400E-8,1.907669E+6
8.2515999794006E+1,2.000000E+0,+001.920E-03,,,1.041667E+3
8.2532000064850E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
8.5218999862671E+1,5.000000E-2,2.770800E-8,-5.000000E-2,-2.471200E-8,1.919975E+6
8.5718999862671E+1,2.000000E+0,+001.920E-03,,,1.041667E+3
8.5735000133514E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
8.8421999931335E+1,5.000000E-2,2.760500E-8,-5.000000E-2,-2.447900E-8,1.912375E+6
8.8921999931335E+1,2.000000E+0,+001.926E-03,,,1.038422E+3
8.8937999725342E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
9.1625000000000E+1,5.000000E-2,2.751300E-8,-5.000000E-2,-2.477800E-8,1.939112E+6
9.2125000000000E+1,2.000000E+0,+001.920E-03,,,1.041667E+3
9.2157000064850E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
9.4843999862671E+1,5.000000E-2,2.736100E-8,-5.000000E-2,-2.420900E-8,1.928975E+6
9.5343999862671E+1,2.000000E+0,+001.920E-03,,,1.041667E+3
9.5360000133514E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
9.8046999931335E+1,5.000000E-2,2.762100E-8,-5.000000E-2,-2.422000E-8,1.943446E+6
9.8546999931335E+1,2.000000E+0,+001.926E-03,,,1.038422E+3
9.8562999725342E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
1.0125000000000E+2,5.000000E-2,2.725200E-8,-5.000000E-2,-2.420300E-8,1.924668E+6
1.0176599979401E+2,2.000000E+0,+001.926E-03,,,1.038422E+3
1.0178200006485E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.0445399999619E+2,5.000000E-2,2.749500E-8,-5.000000E-2,-2.446200E-8,1.935884E+6
1.0495399999619E+2,2.000000E+0,+001.926E-03,,,1.038422E+3
1.0496899986267E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.0767199993134E+2,5.000000E-2,2.747300E-8,-5.000000E-2,-2.418300E-8,1.914169E+6
1.0817199993134E+2,2.000000E+0,+001.933E-03,,,1.034661E+3
1.0818799972534E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.1086000013351E+2,5.000000E-2,2.773400E-8,-5.000000E-2,-2.450800E-8,1.948672E+6
1.1136000013351E+2,2.000000E+0,+001.933E-03,,,1.034661E+3
1.1137500000000E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.1406299972534E+2,5.000000E-2,2.737700E-8,-5.000000E-2,-2.394000E-8,1.939488E+6
1.1456299972534E+2,2.000000E+0,+001.933E-03,,,1.034661E+3
1.1457899999619E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
